2022-05-16 17:59:59.359: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1273995999501207, walkTest: true, walkWithEss: true, y: 2.1273995999501207, disDir: 4.531732214551499, disDirY: 4.525829057867933. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 17:59:59.457: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127399696061097, walkTest: true, walkWithEss: true, y: 2.127399696061097, disDir: 4.531274350993149, disDirY: 4.525829466800847. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 17:59:59.508: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127399756184198, walkTest: true, walkWithEss: true, y: 2.127399756184198, disDir: 4.531058989594424, disDirY: 4.525829722612586. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 17:59:59.569: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1273998191296974, walkTest: true, walkWithEss: true, y: 2.1273998191296974, disDir: 4.530852178637918, disDirY: 4.525829990433069. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 17:59:59.604: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1273998191296974, walkTest: true, walkWithEss: true, y: 2.1273998191296974, disDir: 4.530653300172756, disDirY: 4.525829990433069. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 17:59:59.659: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1273998191296974, walkTest: true, walkWithEss: true, y: 2.1273998191296974, disDir: 4.530462297287379, disDirY: 4.525829990433069. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 17:59:59.707: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.127399883990748, walkTest: true, walkWithEss: true, y: 2.127399883990748, disDir: 4.623203878537587, disDirY: 4.525830266403849. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 17:59:59.762: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1273999835814714, walkTest: true, walkWithEss: true, y: 2.1273999835814714, disDir: 4.531977250381702, disDirY: 4.5258306901424445. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 17:59:59.805: (86ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000139558966, walkTest: true, walkWithEss: true, y: 2.1274000139558966, disDir: 4.531977379618808, disDirY: 4.52583081937955. Player version: V1_18. TPS: [16.7598154890734, 8.89280057853055, 9.156563571519929]
2022-05-16 18:00:08.604: (105ms) 100% NOFALL > Player not in ground no fall Damage. FallDistance: 0.0, DistanceBetweenFromAndTo: 2.0981979801141204 . Warn: 0. Player version: V1_18. TPS: [24.890398759431214, 9.053933028389604, 9.20076883883983]
2022-05-16 18:00:08.605: (105ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0980000052727052, walkTest: true, walkWithEss: true, y: 2.0980000052727052, disDir: 4.492848969642553, disDirY: 4.401604022124272. Player version: V1_18. TPS: [24.890398759431214, 9.053933028389604, 9.20076883883983]
2022-05-16 18:01:15.065: (90ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1300000070475607, walkTest: true, walkWithEss: true, y: 2.1300000070475607, disDir: 4.5430465902618655, disDirY: 4.536900030022608. Player version: V1_18. TPS: [19.999992122336437, 10.616348124992461, 9.50022834031598]
2022-05-16 18:01:15.114: (90ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.130000012052984, walkTest: true, walkWithEss: true, y: 2.130000012052984, disDir: 4.543046611584969, disDirY: 4.536900051345711. Player version: V1_18. TPS: [19.999992122336437, 10.616348124992461, 9.50022834031598]
2022-05-16 18:01:15.17: (90ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.092022701246959, walkTest: true, walkWithEss: true, y: 2.092022701246959, disDir: 4.382705542771881, disDirY: 4.376558982532623. Player version: V1_18. TPS: [19.999992122336437, 10.616348124992461, 9.50022834031598]
2022-05-16 18:01:15.219: (90ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000145702248, walkTest: true, walkWithEss: true, y: 2.1274000145702248, disDir: 4.5319773822326495, disDirY: 4.525830821993392. Player version: V1_18. TPS: [19.999992122336437, 10.616348124992461, 9.50022834031598]
2022-05-16 18:01:15.718: (107ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000136977484, walkTest: true, walkWithEss: true, y: 2.1274000136977484, disDir: 4.5319773785204385, disDirY: 4.525830818281181. Player version: V1_18. TPS: [19.99765667192483, 10.639198146894516, 9.503773914108338]
2022-05-16 18:01:15.784: (107ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000136977484, walkTest: true, walkWithEss: true, y: 2.1274000136977484, disDir: 4.5319773785204385, disDirY: 4.525830818281181. Player version: V1_18. TPS: [19.99765667192483, 10.639198146894516, 9.503773914108338]
