2021-06-09 22:57:32.438: (127ms) 100% NUKER > Type: SMOOTH_QUARTZ_SLAB. Last: 1623279452437, Now: 1623279452437, diff: 0. Warn: 0. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.446: (127ms) 91% NUKER > Type: SPRUCE_SLAB. Last: 1623279452437, Now: 1623279452446, diff: 9. Warn: 1. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.45: (127ms) 96% NUKER > Type: SPRUCE_SLAB. Last: 1623279452446, Now: 1623279452450, diff: 4. Warn: 2. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.45: (127ms) 100% NUKER > Type: SMOOTH_QUARTZ_SLAB. Last: 1623279452450, Now: 1623279452450, diff: 0. Warn: 3. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.451: (127ms) 100% NUKER > Type: OAK_PLANKS. Last: 1623279452451, Now: 1623279452451, diff: 0. Warn: 4. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.481: (127ms) 100% NUKER > Type: OAK_PLANKS. Last: 1623279452481, Now: 1623279452481, diff: 0. Warn: 5. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.481: (127ms) 100% NUKER > Type: SPRUCE_PLANKS. Last: 1623279452481, Now: 1623279452481, diff: 0. Warn: 6. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.481: (127ms) 100% NUKER > Type: SPRUCE_PLANKS. Last: 1623279452481, Now: 1623279452481, diff: 0. Warn: 7. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.482: (127ms) 99% NUKER > Type: OAK_PLANKS. Last: 1623279452481, Now: 1623279452482, diff: 1. Warn: 8. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.482: (127ms) 100% NUKER > Type: SPRUCE_PLANKS. Last: 1623279452482, Now: 1623279452482, diff: 0. Warn: 9. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.482: (127ms) 100% NUKER > Type: OAK_PLANKS. Last: 1623279452482, Now: 1623279452482, diff: 0. Warn: 10. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.482: (127ms) 100% NUKER > Type: OAK_PLANKS. Last: 1623279452482, Now: 1623279452482, diff: 0. Warn: 11. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.483: (127ms) 100% NUKER > Type: DIRT. Last: 1623279452482, Now: 1623279452482, diff: 0. Warn: 12. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-09 22:57:32.483: (127ms) 99% NUKER > Type: DIRT. Last: 1623279452482, Now: 1623279452483, diff: 1. Warn: 13. Player version: V1_16. TPS: [20.000194781485853, 20.000704694707455, 20.00413257955168]
2021-06-10 21:08:13.411: (134ms) 91% SPIDER > Nothing strange around him. To > From: 0.11760000520944658, distance: 0.20000000298023224. Walk with same y 11 times. Player version: V1_16. TPS: [20.00016947499506, 20.001070632169178, 20.001457224086405]
