2023-01-29 09:05:54.702: (93ms) 97% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.3490659433597068, walkTest: true, walkWithEss: true, y: 1.3490659433597068, disDir: 13.720551976942621, disDirY: 1.8199789195330154. Player version: V1_18. TPS: [20.00000057733335, 20.00000361226732, 19.999999987488888]
2023-01-29 09:05:54.751: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.4236413851972862, walkTest: true, walkWithEss: true, y: 1.4236413851972862, disDir: 13.992310068719927, disDirY: 2.0267547936464476. Player version: V1_18. TPS: [20.00000057733335, 20.00000361226732, 19.999999987488888]
2023-01-29 09:05:54.802: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.4914970085975006, walkTest: true, walkWithEss: true, y: 1.4914970085975006, disDir: 14.253972836304476, disDirY: 2.224563326655293. Player version: V1_18. TPS: [20.00000057733335, 20.00000361226732, 19.999999987488888]
2023-01-29 09:05:54.857: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.553243687712897, walkTest: true, walkWithEss: true, y: 1.553243687712897, disDir: 14.504717476466526, disDirY: 2.4125659534199597. Player version: V1_18. TPS: [20.00000057733335, 20.00000361226732, 19.999999987488888]
2023-01-29 09:05:54.905: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.6094311796079812, walkTest: true, walkWithEss: true, y: 1.6094311796079812, disDir: 14.744065753021387, disDirY: 2.590268721894338. Player version: V1_18. TPS: [20.00000057733335, 20.00000361226732, 19.999999987488888]
2023-01-29 09:05:54.95: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.6605664472443722, walkTest: true, walkWithEss: true, y: 1.6605664472443722, disDir: 14.971842619679162, disDirY: 2.7574809257137964. Player version: V1_18. TPS: [20.00000057733335, 20.00000361226732, 19.999999987488888]
2023-01-29 09:05:55.01: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.707103044640121, walkTest: true, walkWithEss: true, y: 1.707103044640121, disDir: 15.188061911746715, disDirY: 2.9142008050195707. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.047: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.7494540177701319, walkTest: true, walkWithEss: true, y: 1.7494540177701319, disDir: 15.392900151427067, disDirY: 3.060589360292057. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.105: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.787995456554234, walkTest: true, walkWithEss: true, y: 1.787995456554234, disDir: 15.586653940152589, disDirY: 3.196927752658584. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.153: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.8230697581254616, walkTest: true, walkWithEss: true, y: 1.8230697581254616, disDir: 15.769705990242937, disDirY: 3.323583342991629. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
2023-01-29 09:05:55.205: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.8549930617418526, walkTest: true, walkWithEss: true, y: 1.8549930617418526, disDir: 15.94251468517356, disDirY: 3.440999259110413. Player version: V1_18. TPS: [19.99996325973416, 19.999996058067442, 19.9999963116229]
