2021-06-29 23:55:12.329: (396ms) 100% TIMER > Flying: 0, position: 11, look: 1, positionLook: 15, sum: 27.0, median: 27. Player version: V1_16. TPS: [20.036458019929732, 19.93874967439445, 19.761752718053888]
2021-06-29 23:55:14.457: (396ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 30, sum: 32.0, median: 35. Player version: V1_16. TPS: [20.036458019929732, 19.93874967439445, 19.761752718053888]
2021-06-29 23:55:16.666: (396ms) 100% TIMER > Flying: 0, position: 16, look: 0, positionLook: 28, sum: 37.0, median: 36. Player version: V1_16. TPS: [19.404886691594218, 19.810100275626585, 19.719843068391135]
2021-06-29 23:55:21.394: (360ms) 100% TIMER > Flying: 0, position: 0, look: 0, positionLook: 16, sum: 33.0, median: 35. Player version: V1_16. TPS: [19.404886691594218, 19.810100275626585, 19.719843068391135]
2021-06-29 23:55:23.23: (360ms) 100% TIMER > Flying: 0, position: 14, look: 3, positionLook: 18, sum: 33.0, median: 35. Player version: V1_16. TPS: [19.019867710155488, 19.72400408656831, 19.691640753344842]
2021-06-29 23:55:24.715: (360ms) 100% TIMER > Flying: 0, position: 3, look: 1, positionLook: 2, sum: 28.0, median: 35. Player version: V1_16. TPS: [19.019867710155488, 19.72400408656831, 19.691640753344842]
2021-06-30 00:00:20.105: (171ms) 100% TIMER > Flying: 0, position: 15, look: 0, positionLook: 25, sum: 36.0, median: 40. Player version: V1_16. TPS: [19.76582796122432, 20.015910132133147, 19.84222936581652]
2021-06-30 00:00:22.009: (187ms) 100% TIMER > Flying: 0, position: 19, look: 0, positionLook: 19, sum: 39.0, median: 40. Player version: V1_16. TPS: [19.76582796122432, 20.015910132133147, 19.84222936581652]
2021-06-30 00:00:23.987: (187ms) 100% TIMER > Flying: 0, position: 10, look: 0, positionLook: 29, sum: 37.0, median: 39. Player version: V1_16. TPS: [19.76582796122432, 20.015910132133147, 19.84222936581652]
2021-06-30 00:00:25.928: (187ms) 100% TIMER > Flying: 0, position: 5, look: 4, positionLook: 31, sum: 36.0, median: 39. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:27.978: (187ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 28, sum: 39.0, median: 40. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:29.783: (187ms) 100% TIMER > Flying: 0, position: 9, look: 0, positionLook: 27, sum: 38.0, median: 39. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:31.605: (187ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 23, sum: 38.0, median: 39. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:32.684: (187ms) 100% TIMER > Flying: 0, position: 5, look: 0, positionLook: 17, sum: 35.0, median: 36. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:34.596: (187ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 25, sum: 34.0, median: 36. Player version: V1_16. TPS: [18.374231593445575, 19.710264122469386, 19.74163436509766]
2021-06-30 00:00:35.989: (187ms) 100% TIMER > Flying: 0, position: 6, look: 0, positionLook: 22, sum: 32.0, median: 36. Player version: V1_16. TPS: [18.374231593445575, 19.710264122469386, 19.74163436509766]
2021-06-30 00:00:37.238: (187ms) 100% TIMER > Flying: 0, position: 5, look: 0, positionLook: 20, sum: 29.0, median: 28. Player version: V1_16. TPS: [18.374231593445575, 19.710264122469386, 19.74163436509766]
2021-06-30 00:01:07.519: (183ms) 100% TIMER > Flying: 0, position: 1, look: 0, positionLook: 31, sum: 28.0, median: 31. Player version: V1_16. TPS: [18.88009889086783, 19.710479267654353, 19.740864644423286]
2021-06-30 00:01:08.863: (183ms) 100% TIMER > Flying: 0, position: 5, look: 1, positionLook: 21, sum: 29.0, median: 31. Player version: V1_16. TPS: [18.88009889086783, 19.710479267654353, 19.740864644423286]
2021-06-30 00:01:10.584: (190ms) 100% TIMER > Flying: 0, position: 4, look: 0, positionLook: 30, sum: 29.0, median: 31. Player version: V1_16. TPS: [18.88009889086783, 19.710479267654353, 19.740864644423286]
