2021-06-09 21:12:10.393: (274ms) 100% TIMER > Flying: 0, position: 14, look: 0, positionLook: 27, sum: 31.0, median: 29. Player version: V1_16. TPS: [16.928472193675525, 18.417016075360475, 17.50295795032621]
2021-06-09 21:12:11.706: (274ms) 100% TIMER > Flying: 0, position: 4, look: 1, positionLook: 22, sum: 31.0, median: 29. Player version: V1_16. TPS: [16.598391063937466, 18.324375868304198, 17.47710520099514]
2021-06-09 21:12:21.319: (252ms) 100% TIMER > Flying: 0, position: 3, look: 0, positionLook: 27, sum: 32.0, median: 30. Player version: V1_16. TPS: [16.277188962162093, 18.229649185540975, 17.450189628744265]
2021-06-09 21:12:22.845: (252ms) 100% TIMER > Flying: 0, position: 4, look: 0, positionLook: 27, sum: 33.0, median: 31. Player version: V1_16. TPS: [16.277188962162093, 18.229649185540975, 17.450189628744265]
2021-06-09 21:12:24.163: (252ms) 100% TIMER > Flying: 0, position: 16, look: 0, positionLook: 10, sum: 31.0, median: 30. Player version: V1_16. TPS: [16.277188962162093, 18.229649185540975, 17.450189628744265]
2021-06-09 21:12:25.555: (252ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 15, sum: 28.0, median: 28. Player version: V1_16. TPS: [16.277188962162093, 18.229649185540975, 17.450189628744265]
2021-06-09 21:12:26.888: (252ms) 100% TIMER > Flying: 0, position: 27, look: 0, positionLook: 0, sum: 28.0, median: 28. Player version: V1_16. TPS: [16.082280281175287, 18.15723367640169, 17.43033815326022]
2021-06-09 21:13:21.532: (216ms) 100% TIMER > Flying: 0, position: 27, look: 0, positionLook: 23, sum: 31.0, median: 27. Player version: V1_16. TPS: [17.18071348659899, 18.203828371985285, 17.484095750217605]
2021-06-09 21:13:22.918: (216ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 15, sum: 30.0, median: 27. Player version: V1_16. TPS: [17.18071348659899, 18.203828371985285, 17.484095750217605]
2021-06-09 21:13:24.1: (216ms) 100% TIMER > Flying: 0, position: 2, look: 0, positionLook: 22, sum: 30.0, median: 27. Player version: V1_16. TPS: [17.18071348659899, 18.203828371985285, 17.484095750217605]
2021-06-09 21:13:25.247: (216ms) 100% TIMER > Flying: 0, position: 0, look: 0, positionLook: 22, sum: 30.0, median: 27. Player version: V1_16. TPS: [16.867545874373114, 18.122356156354822, 17.460896874427174]
2021-06-09 21:14:22.953: (187ms) 100% SPEED > Move 61 times. Warn for Speed: 0. Player version: V1_16. TPS: [17.813360424651368, 18.151052222642917, 17.50424713778608]
2021-06-09 21:14:22.966: (187ms) 100% SPEED > Move 62 times. Warn for Speed: 1. Player version: V1_16. TPS: [17.813360424651368, 18.151052222642917, 17.50424713778608]
2021-06-09 21:14:22.975: (180ms) 100% SPEED > Move 62 times. Ping: 180 Warn for Speed: 2. Player version: V1_16. TPS: [17.813360424651368, 18.151052222642917, 17.50424713778608]
2021-06-09 21:15:04.187: (177ms) 100% TIMER > Flying: 0, position: 3, look: 0, positionLook: 31, sum: 27.0, median: 29. Player version: V1_16. TPS: [18.1970038064272, 18.21089998309666, 17.549357901215576]
2021-06-09 21:15:05.685: (177ms) 100% TIMER > Flying: 0, position: 12, look: 0, positionLook: 18, sum: 30.0, median: 30. Player version: V1_16. TPS: [18.1970038064272, 18.21089998309666, 17.549357901215576]
2021-06-09 21:15:09.794: (177ms) 100% TIMER > Flying: 0, position: 24, look: 0, positionLook: 2, sum: 31.0, median: 30. Player version: V1_16. TPS: [17.76009220288093, 18.120557677950195, 17.522882280950434]
2021-06-09 21:15:59.898: (380ms) 100% TIMER > Flying: 0, position: 7, look: 2, positionLook: 11, sum: 29.0, median: 30. Player version: V1_16. TPS: [18.820242705923448, 18.32866448074261, 17.62623301600305]
2021-06-09 21:16:23.617: (380ms) 100% SPEED > Move 61 times. Warn for Speed: 3. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.62: (380ms) 100% SPEED > Move 62 times. Warn for Speed: 4. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.623: (380ms) 100% SPEED > Move 63 times. Warn for Speed: 5. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.627: (380ms) 100% SPEED > Move 64 times. Warn for Speed: 6. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.631: (380ms) 100% SPEED > Move 65 times. Warn for Speed: 7. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.635: (380ms) 100% SPEED > Move 66 times. Warn for Speed: 8. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.638: (380ms) 100% SPEED > Move 67 times. Warn for Speed: 9. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.641: (380ms) 100% SPEED > Move 68 times. Warn for Speed: 10. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.645: (380ms) 100% SPEED > Move 69 times. Warn for Speed: 11. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.688: (380ms) 100% SPEED > Move 70 times. Warn for Speed: 12. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.692: (380ms) 100% SPEED > Move 71 times. Warn for Speed: 13. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
2021-06-09 21:16:23.695: (380ms) 100% SPEED > Move 72 times. Warn for Speed: 14. Player version: V1_16. TPS: [19.2118879074635, 18.44455467658901, 17.68057634177957]
