2021-04-21 03:28:46.976: (170ms) 100% TIMER > Flying: 0, position: 9, look: 0, positionLook: 19, sum: 27.0, median: 28. Player version: V1_16. TPS: [19.284090397514174, 19.7815052842762, 19.68917040087096]
2021-04-21 03:28:48.041: (170ms) 100% TIMER > Flying: 0, position: 6, look: 1, positionLook: 14, sum: 27.0, median: 28. Player version: V1_16. TPS: [19.284090397514174, 19.7815052842762, 19.68917040087096]
2021-04-21 03:28:50.449: (187ms) 100% TIMER > Flying: 0, position: 14, look: 0, positionLook: 14, sum: 27.0, median: 28. Player version: V1_16. TPS: [19.284090397514174, 19.7815052842762, 19.68917040087096]
2021-04-21 03:34:28.868: (159ms) 100% TIMER > Flying: 0, position: 9, look: 0, positionLook: 21, sum: 27.0, median: 30. Player version: V1_16. TPS: [20.085434119085505, 19.996698409344102, 19.82184594510403]
2021-04-21 03:39:05.183: (171ms) 100% TIMER > Flying: 0, position: 8, look: 0, positionLook: 24, sum: 28.0, median: 32. Player version: V1_16. TPS: [18.909023637846452, 19.549255173555355, 19.699179402228314]
2021-04-21 03:39:06.251: (171ms) 100% TIMER > Flying: 0, position: 0, look: 0, positionLook: 21, sum: 28.0, median: 32. Player version: V1_16. TPS: [18.909023637846452, 19.549255173555355, 19.699179402228314]
2021-04-21 03:39:07.649: (171ms) 100% TIMER > Flying: 0, position: 7, look: 0, positionLook: 22, sum: 28.0, median: 29. Player version: V1_16. TPS: [18.495655876267683, 19.453434252390537, 19.666414511915672]
2021-04-21 03:40:38.906: (170ms) 100% TIMER > Flying: 0, position: 23, look: 0, positionLook: 13, sum: 27.0, median: 28. Player version: V1_16. TPS: [19.67912112417936, 19.549049685930676, 19.67779037205472]
2021-04-21 03:40:40.023: (170ms) 100% TIMER > Flying: 0, position: 15, look: 0, positionLook: 7, sum: 27.0, median: 28. Player version: V1_16. TPS: [19.67912112417936, 19.549049685930676, 19.67779037205472]
2021-04-21 03:40:41.256: (170ms) 100% TIMER > Flying: 0, position: 12, look: 0, positionLook: 13, sum: 28.0, median: 28. Player version: V1_16. TPS: [19.67912112417936, 19.549049685930676, 19.67779037205472]
2021-04-21 03:50:06.701: (157ms) 100% TIMER > Flying: 0, position: 8, look: 0, positionLook: 28, sum: 30.0, median: 36. Player version: V1_16. TPS: [20.003159688211625, 19.877022253626773, 19.761208809395324]
2021-04-21 03:50:09.725: (166ms) 100% TIMER > Flying: 0, position: 9, look: 0, positionLook: 51, sum: 38.0, median: 36. Player version: V1_16. TPS: [19.445523881745856, 19.764091136213857, 19.724202077534294]
2021-04-21 03:50:11.532: (166ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 23, sum: 40.0, median: 36. Player version: V1_16. TPS: [19.445523881745856, 19.764091136213857, 19.724202077534294]
2021-04-21 03:50:13.326: (166ms) 100% TIMER > Flying: 0, position: 9, look: 0, positionLook: 27, sum: 40.0, median: 36. Player version: V1_16. TPS: [19.445523881745856, 19.764091136213857, 19.724202077534294]
2021-04-21 03:50:15.073: (166ms) 100% TIMER > Flying: 0, position: 18, look: 0, positionLook: 17, sum: 40.0, median: 36. Player version: V1_16. TPS: [19.445523881745856, 19.764091136213857, 19.724202077534294]
2021-04-21 03:50:16.581: (166ms) 100% TIMER > Flying: 0, position: 30, look: 0, positionLook: 0, sum: 39.0, median: 36. Player version: V1_16. TPS: [19.445523881745856, 19.764091136213857, 19.724202077534294]
2021-04-21 03:50:17.725: (166ms) 100% TIMER > Flying: 0, position: 23, look: 0, positionLook: 0, sum: 32.0, median: 35. Player version: V1_16. TPS: [18.7046288904444, 19.606025184559208, 19.671732816805484]
2021-04-21 03:50:18.59: (166ms) 100% TIMER > Flying: 0, position: 7, look: 0, positionLook: 10, sum: 28.0, median: 30. Player version: V1_16. TPS: [18.7046288904444, 19.606025184559208, 19.671732816805484]
