2023-05-01 23:11:25.525: (164ms) 96% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.20538455556279198,time=16}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.99992799292592, 19.999989048272663, 19.999995424201046]
2023-05-01 23:11:25.566: (164ms) 97% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.21013998293025374,time=17}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.99992799292592, 19.999989048272663, 19.999995424201046]
2023-05-01 23:11:25.665: (164ms) 99% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.19979602229601345,time=19}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.99992799292592, 19.999989048272663, 19.999995424201046]
2023-05-01 23:11:26.034: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.11861155150647096,time=22}, vel: 0.0,-0.07544406518948656,0.0, velLen: 0.07544406518948656, fd: 0.00000. Player version: V1_19. TPS: [19.99992799292592, 19.999989048272663, 19.999995424201046]
2023-05-01 23:11:26.615: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.07331844097664629,time=25}, vel: 0.0,-0.07544406518948656,0.0, velLen: 0.07544406518948656, fd: 0.00000. Player version: V1_19. TPS: [20.000636393915883, 19.999998622466762, 20.000067879541493]
2023-05-01 23:11:27.287: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.09832224582492202,time=27}, vel: 0.0,-0.07544406518948656,0.0, velLen: 0.07544406518948656, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.574: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.1166184249503074,time=28}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.653: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.1312404186490294,time=29}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.691: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.17164730503006176,time=30}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.729: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.19371742621700558,time=31}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.768: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.2057692269627404,time=32}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.835: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.2123498755682938,time=33}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.872: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.21593940077733834,time=34}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.921: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.21790081143189677,time=35}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:27.981: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.218965133845948,time=36}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00002017068701, 20.00000354840063, 20.00000042977779]
2023-05-01 23:11:29.061: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.09800000119211398,time=45}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.000020855355082, 19.999991761403393, 20.000002937111542]
2023-05-01 23:11:29.773: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.09711406501488745,time=51}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:29.781: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.15150800799458797,time=52}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:29.784: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.18072338312460862,time=53}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:29.787: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.19667497979842083,time=54}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:29.793: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.20538455259396904,time=55}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:29.831: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.0,time=57}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:29.87: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.21273573774363783,time=58}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:29.931: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.2141535228267365,time=59}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:29.968: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.21492777963923237,time=60}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:30.031: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.21535056692417928,time=61}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.999997250667043, 19.99999839200013, 20.000001170377846]
2023-05-01 23:11:31.066: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.09800000137153383,time=74}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [20.00001698801443, 20.000002980000446, 20.000000007666667]
2023-05-01 23:11:31.125: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.1511358584346034,time=75}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.99999281566925, 20.00021555738989, 20.000001548533454]
2023-05-01 23:11:31.167: (164ms) 100% INVENTORYMOVE > Sprint: false, Sneak: false, data: InventoryMoveData{sprint=false,sneak=false,distance=0.17873999070026778,time=76}, vel: 0.0,-0.0784000015258789,0.0, velLen: 0.0784000015258789, fd: 0.00000. Player version: V1_19. TPS: [19.99999281566925, 20.00021555738989, 20.000001548533454]
