2021-06-29 23:55:12.329: (171ms) 100% TIMER > Flying: 0, position: 29, look: 0, positionLook: 0, sum: 27.0, median: 29. Player version: V1_16. TPS: [20.036458019929732, 19.93874967439445, 19.761752718053888]
2021-06-29 23:55:14.457: (171ms) 100% TIMER > Flying: 0, position: 17, look: 0, positionLook: 25, sum: 32.0, median: 34. Player version: V1_16. TPS: [20.036458019929732, 19.93874967439445, 19.761752718053888]
2021-06-29 23:55:16.666: (171ms) 100% TIMER > Flying: 0, position: 19, look: 0, positionLook: 26, sum: 37.0, median: 35. Player version: V1_16. TPS: [19.404886691594218, 19.810100275626585, 19.719843068391135]
2021-06-29 23:55:21.394: (171ms) 100% TIMER > Flying: 0, position: 12, look: 0, positionLook: 4, sum: 33.0, median: 34. Player version: V1_16. TPS: [19.404886691594218, 19.810100275626585, 19.719843068391135]
2021-06-29 23:55:23.23: (171ms) 100% TIMER > Flying: 0, position: 20, look: 0, positionLook: 17, sum: 33.0, median: 37. Player version: V1_16. TPS: [19.019867710155488, 19.72400408656831, 19.691640753344842]
2021-06-29 23:55:24.715: (171ms) 100% TIMER > Flying: 0, position: 28, look: 0, positionLook: 1, sum: 33.0, median: 37. Player version: V1_16. TPS: [19.019867710155488, 19.72400408656831, 19.691640753344842]
2021-06-29 23:55:26.279: (171ms) 100% TIMER > Flying: 0, position: 4, look: 0, positionLook: 28, sum: 31.0, median: 32. Player version: V1_16. TPS: [19.019867710155488, 19.72400408656831, 19.691640753344842]
2021-06-29 23:55:27.394: (171ms) 100% TIMER > Flying: 0, position: 5, look: 0, positionLook: 17, sum: 27.0, median: 29. Player version: V1_16. TPS: [19.019867710155488, 19.72400408656831, 19.691640753344842]
2021-06-29 23:55:28.142: (171ms) 100% TIMER > Flying: 0, position: 3, look: 0, positionLook: 12, sum: 27.0, median: 29. Player version: V1_16. TPS: [19.019867710155488, 19.72400408656831, 19.691640753344842]
2021-06-30 00:00:04.402: (165ms) 100% FORCEFIELD > Big distance with: player. Exact distance: 4.157694673730691, without thorns. Ping: 165. Player version: V1_16. TPS: [20.445955269299454, 20.14954223860479, 19.884019254589543]
2021-06-30 00:00:18.099: (168ms) 100% TIMER > Flying: 0, position: 5, look: 0, positionLook: 38, sum: 36.0, median: 43. Player version: V1_16. TPS: [19.76582796122432, 20.015910132133147, 19.84222936581652]
2021-06-30 00:00:20.104: (168ms) 100% TIMER > Flying: 0, position: 4, look: 0, positionLook: 36, sum: 39.0, median: 43. Player version: V1_16. TPS: [19.76582796122432, 20.015910132133147, 19.84222936581652]
2021-06-30 00:00:22.009: (168ms) 100% TIMER > Flying: 0, position: 7, look: 0, positionLook: 31, sum: 42.0, median: 43. Player version: V1_16. TPS: [19.76582796122432, 20.015910132133147, 19.84222936581652]
2021-06-30 00:00:23.987: (168ms) 100% TIMER > Flying: 0, position: 5, look: 9, positionLook: 26, sum: 41.0, median: 40. Player version: V1_16. TPS: [19.76582796122432, 20.015910132133147, 19.84222936581652]
2021-06-30 00:00:25.928: (168ms) 100% TIMER > Flying: 0, position: 6, look: 7, positionLook: 26, sum: 40.0, median: 40. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:27.978: (168ms) 100% TIMER > Flying: 0, position: 2, look: 0, positionLook: 39, sum: 39.0, median: 40. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:29.783: (168ms) 100% TIMER > Flying: 0, position: 7, look: 0, positionLook: 29, sum: 38.0, median: 39. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:31.605: (168ms) 100% TIMER > Flying: 0, position: 11, look: 0, positionLook: 25, sum: 38.0, median: 39. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:32.684: (168ms) 100% TIMER > Flying: 0, position: 19, look: 0, positionLook: 3, sum: 34.0, median: 36. Player version: V1_16. TPS: [18.968337564436105, 19.847301381975583, 19.786981693312075]
2021-06-30 00:00:34.596: (168ms) 100% TIMER > Flying: 0, position: 8, look: 0, positionLook: 30, sum: 34.0, median: 36. Player version: V1_16. TPS: [18.374231593445575, 19.710264122469386, 19.74163436509766]
2021-06-30 00:00:35.989: (173ms) 100% TIMER > Flying: 0, position: 1, look: 0, positionLook: 27, sum: 32.0, median: 36. Player version: V1_16. TPS: [18.374231593445575, 19.710264122469386, 19.74163436509766]
2021-06-30 00:00:37.238: (173ms) 100% TIMER > Flying: 0, position: 4, look: 0, positionLook: 21, sum: 29.0, median: 28. Player version: V1_16. TPS: [18.374231593445575, 19.710264122469386, 19.74163436509766]
2021-06-30 00:01:07.519: (173ms) 100% TIMER > Flying: 0, position: 3, look: 0, positionLook: 29, sum: 28.0, median: 31. Player version: V1_16. TPS: [18.88009889086783, 19.710479267654353, 19.740864644423286]
2021-06-30 00:01:08.863: (173ms) 100% TIMER > Flying: 0, position: 4, look: 0, positionLook: 22, sum: 28.0, median: 31. Player version: V1_16. TPS: [18.88009889086783, 19.710479267654353, 19.740864644423286]
2021-06-30 00:01:10.584: (173ms) 100% TIMER > Flying: 0, position: 5, look: 0, positionLook: 30, sum: 29.0, median: 31. Player version: V1_16. TPS: [18.88009889086783, 19.710479267654353, 19.740864644423286]
2021-06-30 00:01:11.93: (173ms) 100% TIMER > Flying: 0, position: 0, look: 0, positionLook: 27, sum: 30.0, median: 31. Player version: V1_16. TPS: [18.88009889086783, 19.710479267654353, 19.740864644423286]
2021-06-30 00:01:13.904: (173ms) 100% TIMER > Flying: 0, position: 3, look: 0, positionLook: 36, sum: 31.0, median: 32. Player version: V1_16. TPS: [18.418183771210465, 19.601507998008046, 19.704373768302286]
2021-06-30 00:01:16.317: (173ms) 100% TIMER > Flying: 0, position: 7, look: 0, positionLook: 42, sum: 35.0, median: 35. Player version: V1_16. TPS: [18.418183771210465, 19.601507998008046, 19.704373768302286]
2021-06-30 00:01:20.067: (173ms) 100% TIMER > Flying: 0, position: 9, look: 0, positionLook: 31, sum: 38.0, median: 39. Player version: V1_16. TPS: [18.418183771210465, 19.601507998008046, 19.704373768302286]
2021-06-30 00:01:22.037: (173ms) 100% TIMER > Flying: 0, position: 11, look: 0, positionLook: 28, sum: 38.0, median: 39. Player version: V1_16. TPS: [18.418183771210465, 19.601507998008046, 19.704373768302286]
2021-06-30 00:01:24.577: (173ms) 100% TIMER > Flying: 0, position: 2, look: 3, positionLook: 46, sum: 43.0, median: 40. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:26.721: (228ms) 100% TIMER > Flying: 0, position: 13, look: 0, positionLook: 29, sum: 44.0, median: 42. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:28.486: (228ms) 100% TIMER > Flying: 0, position: 10, look: 0, positionLook: 26, sum: 41.0, median: 40. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:30.248: (228ms) 100% TIMER > Flying: 0, position: 5, look: 0, positionLook: 30, sum: 40.0, median: 39. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
2021-06-30 00:01:31.927: (228ms) 100% TIMER > Flying: 0, position: 4, look: 6, positionLook: 24, sum: 39.0, median: 36. Player version: V1_16. TPS: [17.725597785960673, 19.439137288808116, 19.64968443683236]
